"id","name","latitude","longitude"
"S117","Banyan Road",1.256,103.679
"S50","Clementi Road",1.3337,103.7768
"S107","East Coast Parkway",1.3135,103.9625
"S43","Kim Chuan Road",1.3399,103.8878
"S44","Nanyang Avenue",1.34583,103.68166
"S106","Pulau Ubin",1.4168,103.9673
"S122","Sembawang Road",1.41731,103.8249
"S60","Sentosa",1.25,103.8279
"S115","Tuas South Avenue 3",1.29377,103.61843
"S24","Upper Changi Road North",1.3678,103.9826
"S116","West Coast Highway",1.281,103.754
"S104","Woodlands Avenue 9",1.44387,103.78538
"S100","Woodlands Road",1.4172,103.74855
